ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
5055,Dietary Supplement/Medications/Remedy,Superior Liver Support No.1 Gandezhi Capsule Dietary Supplement,Lead,-1,ppm,Guangzhou Baiyunshan Jinxiutang Pharmaceutical Com,CHINA,12/13/2019 12:00:00 AM,No
853,Dietary Supplement/Medications/Remedy,Dhanwanthari Gulika (Ayurvedic),Mercury,15,ppm,Ashtavaidyan Thaikkattu Mooss Vaidyaratnam Oushad,INDIA,07/17/2013 12:00:00 AM,No
4331,Dietary Supplement/Medications/Remedy,Baidyanath Shilajeet,Arsenic,-1,ppm,Goodcare Pharma (P) Ltd.,INDIA,06/27/2019 12:00:00 AM,No
3101,Dietary Supplement/Medications/Remedy,PC Phosphatidylcholine,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/27/2018 12:00:00 AM,No
869,Dietary Supplement/Medications/Remedy,Gastrodia Tea or Gastrodia Tuber,Lead,-1,ppm,Jiangyin Tianjiang Herb Work Co.,CHINA,07/23/2013 12:00:00 AM,No
1258,Food-Candy,Pulparindo,Lead,-1,ppm,CHUPALETAS SA,MEXICO,01/22/2015 12:00:00 AM,No
806,Dietary Supplement/Medications/Remedy,Polygala Tenuifolia Tea,Lead,-1,ppm,Jiangyin Tianjian Herb Work Co,CHINA,06/12/2013 12:00:00 AM,No
1279,Jewelry,Amulet-clear plastic beads,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/19/2015 12:00:00 AM,No
648,Religious powder,Abil powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,11/21/2012 12:00:00 AM,No
4954,Food Other,Cabbage,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,11/22/2019 12:00:00 AM,No
3298,Toys/Children's Products,Toy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,11/28/2018 12:00:00 AM,No
2495,Food-Spice,Za-atar,Lead,-1,ppm,UNKNOWN OR NOT STATED,JORDAN,06/28/2017 12:00:00 AM,No
4714,Dietary Supplement/Medications/Remedy,Pakistani herbal remedy,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,PAKISTAN,10/02/2019 12:00:00 AM,No
2704,Religious powder,Bhai Tika Seven Tika Colour,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,09/28/2017 12:00:00 AM,No
2502,Food Other,Uzbeki raisins,Lead,-1,ppm,UNKNOWN OR NOT STATED,UZBEKISTAN,06/28/2017 12:00:00 AM,No
3970,Dietary Supplement/Medications/Remedy,Usana CoQuinone 30,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/02/2019 12:00:00 AM,No
2176,Food-Spice,Orange Spice,Lead,13000,ppm,UNKNOWN OR NOT STATED,GEORGIA,02/02/2017 12:00:00 AM,No
1575,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Lead,2.7,ppm,Lanzhou Traditional Herbs,CHINA,12/03/2015 12:00:00 AM,No
